id,neighborhood,room_type,price,rating,review_text
1,Parramatta,Entire home/apt,302.19,3.7,"Basic room, clean but tiny. The host was very friendly."
2,Manly,Entire home/apt,779.21,4.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
3,Newtown,Entire home/apt,640.33,4.4,"Terrible experience, the place was dirty and loud."
4,Newtown,Private room,783.66,4.1,"A lovely, quiet neighborhood perfect for families. Close to the beach."
5,Darlinghurst,Shared room,549.62,3.7,"Quiet and peaceful, the perfect romantic getaway."
6,Bondi,Entire home/apt,717.48,3.9,"Basic room, clean but tiny. The host was very friendly."
7,Darlinghurst,Shared room,327.39,3.7,"Quiet and peaceful, the perfect romantic getaway."
8,Bondi,Shared room,312.89,4.0,"Terrible experience, the place was dirty and loud."
9,Manly,Shared room,152.1,4.9,Luxury villa with a pool and ocean views. Incredible experience.
10,Bondi,Entire home/apt,783.36,3.4,"A lovely, quiet neighborhood perfect for families. Close to the beach."
11,Surry Hills,Private room,745.36,2.6,"Basic room, clean but tiny. The host was very friendly."
12,Newtown,Entire home/apt,619.86,3.8,"Basic room, clean but tiny. The host was very friendly."
13,Darlinghurst,Entire home/apt,286.53,3.0,"A lovely, quiet neighborhood perfect for families. Close to the beach."
14,Darlinghurst,Entire home/apt,111.13,2.5,"Very noisy and bustling, great for nightlife but hard to sleep."
15,Manly,Private room,722.6,2.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
16,Surry Hills,Private room,782.14,4.0,"Terrible experience, the place was dirty and loud."
17,Parramatta,Entire home/apt,94.05,4.4,"A lovely, quiet neighborhood perfect for families. Close to the beach."
18,Newtown,Private room,581.47,3.5,"A lovely, quiet neighborhood perfect for families. Close to the beach."
19,Bondi,Private room,455.95,4.8,Extremely clean and modern apartment with high-speed wifi.
20,Parramatta,Private room,716.06,2.5,A bit outdated but very affordable and cozy.
21,Surry Hills,Private room,519.9,2.7,Extremely clean and modern apartment with high-speed wifi.
22,Bondi,Entire home/apt,391.82,3.6,Luxury villa with a pool and ocean views. Incredible experience.
23,Manly,Shared room,322.82,4.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
24,Parramatta,Private room,458.85,4.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
25,Newtown,Private room,331.03,4.9,"Very noisy and bustling, great for nightlife but hard to sleep."
26,Darlinghurst,Shared room,54.17,2.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
27,Darlinghurst,Private room,163.91,4.8,"Very noisy and bustling, great for nightlife but hard to sleep."
28,Bondi,Shared room,367.64,5.0,"Very noisy and bustling, great for nightlife but hard to sleep."
29,Darlinghurst,Entire home/apt,525.55,2.7,"Quiet and peaceful, the perfect romantic getaway."
30,Newtown,Entire home/apt,396.8,3.8,A bit outdated but very affordable and cozy.
31,Newtown,Shared room,506.92,3.9,Extremely clean and modern apartment with high-speed wifi.
32,Darlinghurst,Entire home/apt,239.27,3.2,"Terrible experience, the place was dirty and loud."
33,Parramatta,Shared room,726.13,4.7,"Very noisy and bustling, great for nightlife but hard to sleep."
34,Bondi,Entire home/apt,676.97,3.1,Extremely clean and modern apartment with high-speed wifi.
35,Manly,Private room,726.77,4.6,Luxury villa with a pool and ocean views. Incredible experience.
36,Newtown,Shared room,167.1,3.5,"Very noisy and bustling, great for nightlife but hard to sleep."
37,Manly,Private room,324.5,2.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
38,Parramatta,Entire home/apt,351.93,4.9,A bit outdated but very affordable and cozy.
39,Surry Hills,Shared room,632.78,3.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
40,Newtown,Shared room,296.21,3.4,"Terrible experience, the place was dirty and loud."
41,Bondi,Shared room,785.29,3.5,"Very noisy and bustling, great for nightlife but hard to sleep."
42,Manly,Private room,674.61,4.7,Luxury villa with a pool and ocean views. Incredible experience.
43,Manly,Private room,612.5,2.7,Luxury villa with a pool and ocean views. Incredible experience.
44,Surry Hills,Private room,777.31,4.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
45,Parramatta,Private room,244.77,3.9,"Terrible experience, the place was dirty and loud."
46,Newtown,Shared room,375.78,3.1,"Terrible experience, the place was dirty and loud."
47,Bondi,Entire home/apt,514.29,2.9,"Very noisy and bustling, great for nightlife but hard to sleep."
48,Bondi,Entire home/apt,455.47,3.0,"A lovely, quiet neighborhood perfect for families. Close to the beach."
49,Parramatta,Shared room,290.79,3.6,A bit outdated but very affordable and cozy.
50,Surry Hills,Shared room,519.94,4.1,"Quiet and peaceful, the perfect romantic getaway."
51,Darlinghurst,Private room,699.57,2.7,"A lovely, quiet neighborhood perfect for families. Close to the beach."
52,Parramatta,Shared room,531.81,4.9,"Very noisy and bustling, great for nightlife but hard to sleep."
53,Newtown,Private room,290.42,4.4,"A lovely, quiet neighborhood perfect for families. Close to the beach."
54,Surry Hills,Entire home/apt,246.3,3.0,Extremely clean and modern apartment with high-speed wifi.
55,Surry Hills,Shared room,269.61,3.2,Extremely clean and modern apartment with high-speed wifi.
56,Newtown,Private room,350.88,4.9,"Quiet and peaceful, the perfect romantic getaway."
57,Surry Hills,Private room,701.0,4.9,"Terrible experience, the place was dirty and loud."
58,Manly,Shared room,378.73,4.2,"Basic room, clean but tiny. The host was very friendly."
59,Darlinghurst,Shared room,517.79,2.6,"Terrible experience, the place was dirty and loud."
60,Manly,Entire home/apt,436.3,4.6,A bit outdated but very affordable and cozy.
61,Darlinghurst,Private room,732.42,3.0,A bit outdated but very affordable and cozy.
62,Surry Hills,Shared room,229.58,2.6,"Basic room, clean but tiny. The host was very friendly."
63,Newtown,Shared room,396.68,2.7,"Very noisy and bustling, great for nightlife but hard to sleep."
64,Bondi,Private room,755.63,4.2,Luxury villa with a pool and ocean views. Incredible experience.
65,Manly,Private room,549.62,3.7,"Basic room, clean but tiny. The host was very friendly."
66,Parramatta,Entire home/apt,533.58,4.3,Extremely clean and modern apartment with high-speed wifi.
67,Newtown,Entire home/apt,600.51,4.0,Luxury villa with a pool and ocean views. Incredible experience.
68,Darlinghurst,Private room,514.82,3.1,"Quiet and peaceful, the perfect romantic getaway."
69,Bondi,Entire home/apt,569.89,3.7,"Very noisy and bustling, great for nightlife but hard to sleep."
70,Darlinghurst,Shared room,151.15,4.6,"Basic room, clean but tiny. The host was very friendly."
71,Darlinghurst,Shared room,515.85,2.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
72,Darlinghurst,Private room,192.97,4.6,Extremely clean and modern apartment with high-speed wifi.
73,Surry Hills,Shared room,516.1,4.5,"Terrible experience, the place was dirty and loud."
74,Parramatta,Entire home/apt,790.69,3.3,Luxury villa with a pool and ocean views. Incredible experience.
75,Manly,Entire home/apt,343.71,4.8,"Quiet and peaceful, the perfect romantic getaway."
76,Manly,Shared room,651.48,3.0,"Quiet and peaceful, the perfect romantic getaway."
77,Surry Hills,Entire home/apt,653.0,3.3,"Very noisy and bustling, great for nightlife but hard to sleep."
78,Bondi,Entire home/apt,640.95,2.9,"A lovely, quiet neighborhood perfect for families. Close to the beach."
79,Darlinghurst,Entire home/apt,419.0,2.7,"Terrible experience, the place was dirty and loud."
80,Parramatta,Shared room,170.73,3.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
81,Bondi,Private room,426.76,3.6,"Basic room, clean but tiny. The host was very friendly."
82,Parramatta,Entire home/apt,668.74,3.0,"A lovely, quiet neighborhood perfect for families. Close to the beach."
83,Parramatta,Shared room,727.37,3.0,Luxury villa with a pool and ocean views. Incredible experience.
84,Bondi,Shared room,228.46,3.8,A bit outdated but very affordable and cozy.
85,Manly,Private room,110.64,2.7,"Basic room, clean but tiny. The host was very friendly."
86,Newtown,Shared room,562.27,4.4,"Very noisy and bustling, great for nightlife but hard to sleep."
87,Parramatta,Entire home/apt,687.06,3.5,Extremely clean and modern apartment with high-speed wifi.
88,Bondi,Entire home/apt,141.35,5.0,"Very noisy and bustling, great for nightlife but hard to sleep."
89,Newtown,Shared room,237.1,4.9,"A lovely, quiet neighborhood perfect for families. Close to the beach."
90,Manly,Entire home/apt,328.37,4.3,A bit outdated but very affordable and cozy.
91,Manly,Private room,220.24,4.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
92,Newtown,Private room,464.48,3.2,"Quiet and peaceful, the perfect romantic getaway."
93,Darlinghurst,Entire home/apt,770.11,4.4,"A lovely, quiet neighborhood perfect for families. Close to the beach."
94,Surry Hills,Private room,716.79,2.9,"Basic room, clean but tiny. The host was very friendly."
95,Newtown,Shared room,767.12,3.6,Luxury villa with a pool and ocean views. Incredible experience.
96,Newtown,Private room,553.72,2.6,"Quiet and peaceful, the perfect romantic getaway."
97,Newtown,Private room,63.05,3.5,A bit outdated but very affordable and cozy.
98,Bondi,Private room,435.24,3.5,"A lovely, quiet neighborhood perfect for families. Close to the beach."
99,Darlinghurst,Private room,782.82,4.4,"Terrible experience, the place was dirty and loud."
100,Surry Hills,Entire home/apt,56.52,4.7,"Terrible experience, the place was dirty and loud."
101,Parramatta,Private room,141.65,4.0,"A lovely, quiet neighborhood perfect for families. Close to the beach."
102,Bondi,Entire home/apt,345.68,2.6,"Quiet and peaceful, the perfect romantic getaway."
103,Newtown,Shared room,630.01,4.2,Extremely clean and modern apartment with high-speed wifi.
104,Parramatta,Private room,483.26,4.0,"Very noisy and bustling, great for nightlife but hard to sleep."
105,Manly,Shared room,780.08,4.3,"A lovely, quiet neighborhood perfect for families. Close to the beach."
106,Surry Hills,Shared room,547.37,3.7,"Terrible experience, the place was dirty and loud."
107,Parramatta,Private room,598.64,4.7,"Very noisy and bustling, great for nightlife but hard to sleep."
108,Darlinghurst,Shared room,709.21,3.1,"Very noisy and bustling, great for nightlife but hard to sleep."
109,Parramatta,Private room,131.84,3.2,"Quiet and peaceful, the perfect romantic getaway."
110,Parramatta,Shared room,719.61,2.8,"Basic room, clean but tiny. The host was very friendly."
111,Bondi,Private room,452.28,2.7,Extremely clean and modern apartment with high-speed wifi.
112,Manly,Shared room,494.29,2.9,"Quiet and peaceful, the perfect romantic getaway."
113,Newtown,Entire home/apt,334.86,4.5,A bit outdated but very affordable and cozy.
114,Darlinghurst,Shared room,540.52,3.8,Luxury villa with a pool and ocean views. Incredible experience.
115,Parramatta,Entire home/apt,303.04,3.7,"A lovely, quiet neighborhood perfect for families. Close to the beach."
116,Manly,Entire home/apt,163.01,3.1,"Quiet and peaceful, the perfect romantic getaway."
117,Darlinghurst,Shared room,413.21,4.6,"Very noisy and bustling, great for nightlife but hard to sleep."
118,Newtown,Shared room,614.03,4.1,Luxury villa with a pool and ocean views. Incredible experience.
119,Parramatta,Entire home/apt,285.82,3.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
120,Newtown,Shared room,119.16,4.0,Extremely clean and modern apartment with high-speed wifi.
121,Surry Hills,Private room,431.34,2.7,Extremely clean and modern apartment with high-speed wifi.
122,Newtown,Private room,274.4,4.3,Luxury villa with a pool and ocean views. Incredible experience.
123,Manly,Shared room,93.59,3.4,A bit outdated but very affordable and cozy.
124,Manly,Entire home/apt,605.28,4.9,"Very noisy and bustling, great for nightlife but hard to sleep."
125,Parramatta,Private room,389.16,3.7,Luxury villa with a pool and ocean views. Incredible experience.
126,Darlinghurst,Private room,689.59,3.8,"Terrible experience, the place was dirty and loud."
127,Surry Hills,Private room,152.62,3.8,"Terrible experience, the place was dirty and loud."
128,Bondi,Shared room,107.36,3.9,Extremely clean and modern apartment with high-speed wifi.
129,Bondi,Shared room,584.06,3.2,"A lovely, quiet neighborhood perfect for families. Close to the beach."
130,Darlinghurst,Shared room,181.6,4.8,"Quiet and peaceful, the perfect romantic getaway."
131,Manly,Entire home/apt,767.28,4.4,"A lovely, quiet neighborhood perfect for families. Close to the beach."
132,Parramatta,Shared room,365.79,3.5,"Basic room, clean but tiny. The host was very friendly."
133,Surry Hills,Shared room,616.78,4.5,Luxury villa with a pool and ocean views. Incredible experience.
134,Darlinghurst,Private room,461.92,3.3,Luxury villa with a pool and ocean views. Incredible experience.
135,Parramatta,Private room,393.23,3.7,"Quiet and peaceful, the perfect romantic getaway."
136,Surry Hills,Private room,333.76,4.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
137,Newtown,Entire home/apt,414.81,4.8,Extremely clean and modern apartment with high-speed wifi.
138,Manly,Private room,106.06,5.0,"Very noisy and bustling, great for nightlife but hard to sleep."
139,Surry Hills,Entire home/apt,610.11,2.6,Extremely clean and modern apartment with high-speed wifi.
140,Manly,Shared room,605.98,3.6,"Very noisy and bustling, great for nightlife but hard to sleep."
141,Surry Hills,Shared room,388.24,2.8,"Very noisy and bustling, great for nightlife but hard to sleep."
142,Manly,Entire home/apt,764.92,3.3,Extremely clean and modern apartment with high-speed wifi.
143,Darlinghurst,Entire home/apt,583.92,4.7,"Very noisy and bustling, great for nightlife but hard to sleep."
144,Manly,Entire home/apt,228.53,4.2,A bit outdated but very affordable and cozy.
145,Newtown,Private room,497.0,3.5,Luxury villa with a pool and ocean views. Incredible experience.
146,Bondi,Private room,139.8,4.5,"A lovely, quiet neighborhood perfect for families. Close to the beach."
147,Surry Hills,Private room,278.77,2.7,A bit outdated but very affordable and cozy.
148,Bondi,Entire home/apt,343.82,3.3,"Basic room, clean but tiny. The host was very friendly."
149,Surry Hills,Shared room,514.88,3.4,"A lovely, quiet neighborhood perfect for families. Close to the beach."
150,Bondi,Entire home/apt,301.77,2.5,"Terrible experience, the place was dirty and loud."
151,Parramatta,Entire home/apt,168.71,4.1,Luxury villa with a pool and ocean views. Incredible experience.
152,Parramatta,Private room,56.37,2.7,"Terrible experience, the place was dirty and loud."
153,Darlinghurst,Entire home/apt,140.54,2.6,"Quiet and peaceful, the perfect romantic getaway."
154,Bondi,Entire home/apt,588.54,4.7,Luxury villa with a pool and ocean views. Incredible experience.
155,Surry Hills,Shared room,189.86,3.4,A bit outdated but very affordable and cozy.
156,Darlinghurst,Entire home/apt,360.96,3.2,Extremely clean and modern apartment with high-speed wifi.
157,Manly,Entire home/apt,369.78,4.8,"Basic room, clean but tiny. The host was very friendly."
158,Darlinghurst,Entire home/apt,151.75,4.8,A bit outdated but very affordable and cozy.
159,Parramatta,Private room,595.09,3.3,"A lovely, quiet neighborhood perfect for families. Close to the beach."
160,Manly,Shared room,334.81,5.0,Luxury villa with a pool and ocean views. Incredible experience.
161,Darlinghurst,Entire home/apt,267.13,4.4,"Terrible experience, the place was dirty and loud."
162,Surry Hills,Entire home/apt,191.12,3.7,Luxury villa with a pool and ocean views. Incredible experience.
163,Parramatta,Entire home/apt,65.33,4.7,"Quiet and peaceful, the perfect romantic getaway."
164,Newtown,Shared room,747.18,2.5,"Terrible experience, the place was dirty and loud."
165,Newtown,Entire home/apt,366.68,3.3,"Terrible experience, the place was dirty and loud."
166,Darlinghurst,Private room,255.48,3.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
167,Manly,Entire home/apt,441.89,3.3,Extremely clean and modern apartment with high-speed wifi.
168,Newtown,Private room,228.89,2.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
169,Surry Hills,Private room,524.48,2.9,"A lovely, quiet neighborhood perfect for families. Close to the beach."
170,Manly,Shared room,694.58,3.5,"A lovely, quiet neighborhood perfect for families. Close to the beach."
171,Newtown,Private room,521.93,2.8,"Terrible experience, the place was dirty and loud."
172,Manly,Private room,208.35,4.6,"Very noisy and bustling, great for nightlife but hard to sleep."
173,Surry Hills,Entire home/apt,649.98,2.5,"Basic room, clean but tiny. The host was very friendly."
174,Bondi,Private room,144.47,3.4,"Basic room, clean but tiny. The host was very friendly."
175,Darlinghurst,Entire home/apt,696.85,3.5,"A lovely, quiet neighborhood perfect for families. Close to the beach."
176,Surry Hills,Shared room,75.12,3.3,A bit outdated but very affordable and cozy.
177,Surry Hills,Entire home/apt,534.61,3.9,"Very noisy and bustling, great for nightlife but hard to sleep."
178,Surry Hills,Entire home/apt,218.47,4.9,Extremely clean and modern apartment with high-speed wifi.
179,Darlinghurst,Shared room,403.88,4.7,"Terrible experience, the place was dirty and loud."
180,Darlinghurst,Private room,647.02,2.8,"Basic room, clean but tiny. The host was very friendly."
181,Newtown,Private room,782.01,3.1,"Basic room, clean but tiny. The host was very friendly."
182,Bondi,Entire home/apt,101.02,4.1,"Very noisy and bustling, great for nightlife but hard to sleep."
183,Newtown,Private room,435.72,3.6,"Quiet and peaceful, the perfect romantic getaway."
184,Manly,Private room,456.53,3.0,"Terrible experience, the place was dirty and loud."
185,Parramatta,Private room,335.24,3.6,Luxury villa with a pool and ocean views. Incredible experience.
186,Surry Hills,Private room,517.88,3.3,"Basic room, clean but tiny. The host was very friendly."
187,Surry Hills,Private room,763.45,3.2,"Very noisy and bustling, great for nightlife but hard to sleep."
188,Surry Hills,Entire home/apt,556.52,5.0,A bit outdated but very affordable and cozy.
189,Parramatta,Entire home/apt,91.38,2.8,Extremely clean and modern apartment with high-speed wifi.
190,Surry Hills,Shared room,678.58,3.2,"Very noisy and bustling, great for nightlife but hard to sleep."
191,Parramatta,Entire home/apt,92.16,2.9,Extremely clean and modern apartment with high-speed wifi.
192,Manly,Shared room,692.59,3.2,"Quiet and peaceful, the perfect romantic getaway."
193,Darlinghurst,Private room,604.97,4.5,Extremely clean and modern apartment with high-speed wifi.
194,Manly,Private room,492.54,3.4,"A lovely, quiet neighborhood perfect for families. Close to the beach."
195,Surry Hills,Private room,409.9,3.0,A bit outdated but very affordable and cozy.
196,Bondi,Private room,375.53,3.2,"Terrible experience, the place was dirty and loud."
197,Bondi,Private room,206.57,2.5,"Terrible experience, the place was dirty and loud."
198,Darlinghurst,Shared room,347.03,2.6,Extremely clean and modern apartment with high-speed wifi.
199,Darlinghurst,Shared room,188.55,4.8,"A lovely, quiet neighborhood perfect for families. Close to the beach."
200,Bondi,Private room,401.86,2.6,"Very noisy and bustling, great for nightlife but hard to sleep."
201,Surry Hills,Shared room,134.99,3.7,"Basic room, clean but tiny. The host was very friendly."
202,Manly,Entire home/apt,81.86,3.1,"Basic room, clean but tiny. The host was very friendly."
203,Parramatta,Entire home/apt,358.17,3.3,Extremely clean and modern apartment with high-speed wifi.
204,Bondi,Shared room,629.95,2.7,A bit outdated but very affordable and cozy.
205,Surry Hills,Shared room,619.08,4.0,Extremely clean and modern apartment with high-speed wifi.
206,Surry Hills,Entire home/apt,221.32,2.7,"Very noisy and bustling, great for nightlife but hard to sleep."
207,Bondi,Entire home/apt,102.0,4.2,"Quiet and peaceful, the perfect romantic getaway."
208,Bondi,Shared room,76.91,4.1,Extremely clean and modern apartment with high-speed wifi.
209,Manly,Private room,762.11,3.6,A bit outdated but very affordable and cozy.
210,Parramatta,Private room,195.96,3.7,"Quiet and peaceful, the perfect romantic getaway."
211,Parramatta,Private room,208.97,2.9,A bit outdated but very affordable and cozy.
212,Newtown,Shared room,335.79,3.3,"Terrible experience, the place was dirty and loud."
213,Manly,Entire home/apt,561.97,3.6,A bit outdated but very affordable and cozy.
214,Surry Hills,Private room,114.87,4.6,"Quiet and peaceful, the perfect romantic getaway."
215,Surry Hills,Private room,440.21,4.6,Extremely clean and modern apartment with high-speed wifi.
216,Manly,Shared room,377.11,4.9,A bit outdated but very affordable and cozy.
217,Newtown,Private room,211.03,4.3,"Terrible experience, the place was dirty and loud."
218,Parramatta,Private room,519.18,4.8,Luxury villa with a pool and ocean views. Incredible experience.
219,Newtown,Shared room,519.56,4.5,"A lovely, quiet neighborhood perfect for families. Close to the beach."
220,Manly,Private room,162.62,5.0,"Basic room, clean but tiny. The host was very friendly."
221,Bondi,Shared room,679.43,3.0,"Basic room, clean but tiny. The host was very friendly."
222,Parramatta,Shared room,715.43,2.9,"Terrible experience, the place was dirty and loud."
223,Newtown,Private room,719.26,4.0,Luxury villa with a pool and ocean views. Incredible experience.
224,Parramatta,Entire home/apt,106.98,2.7,"Very noisy and bustling, great for nightlife but hard to sleep."
225,Surry Hills,Shared room,487.22,3.8,A bit outdated but very affordable and cozy.
226,Newtown,Entire home/apt,678.19,3.2,"Terrible experience, the place was dirty and loud."
227,Darlinghurst,Private room,405.97,4.5,"Quiet and peaceful, the perfect romantic getaway."
228,Surry Hills,Shared room,475.02,5.0,"Terrible experience, the place was dirty and loud."
229,Parramatta,Private room,393.41,2.6,"Quiet and peaceful, the perfect romantic getaway."
230,Surry Hills,Entire home/apt,356.88,3.9,"Terrible experience, the place was dirty and loud."
231,Bondi,Private room,541.54,4.3,"Very noisy and bustling, great for nightlife but hard to sleep."
232,Parramatta,Private room,597.6,4.8,Luxury villa with a pool and ocean views. Incredible experience.
233,Bondi,Shared room,519.28,4.3,"Terrible experience, the place was dirty and loud."
234,Surry Hills,Private room,640.85,3.6,"A lovely, quiet neighborhood perfect for families. Close to the beach."
235,Surry Hills,Entire home/apt,681.79,4.2,"A lovely, quiet neighborhood perfect for families. Close to the beach."
236,Parramatta,Entire home/apt,567.1,3.0,"Basic room, clean but tiny. The host was very friendly."
237,Bondi,Entire home/apt,458.72,4.4,"Quiet and peaceful, the perfect romantic getaway."
238,Surry Hills,Private room,512.74,3.8,Luxury villa with a pool and ocean views. Incredible experience.
239,Darlinghurst,Shared room,767.11,4.0,"Basic room, clean but tiny. The host was very friendly."
240,Manly,Private room,380.03,2.5,Luxury villa with a pool and ocean views. Incredible experience.
241,Newtown,Private room,425.21,2.9,"Very noisy and bustling, great for nightlife but hard to sleep."
242,Bondi,Entire home/apt,186.08,3.9,"Terrible experience, the place was dirty and loud."
243,Parramatta,Private room,325.83,2.7,A bit outdated but very affordable and cozy.
244,Newtown,Private room,600.87,3.3,"Basic room, clean but tiny. The host was very friendly."
245,Newtown,Entire home/apt,519.18,2.5,Extremely clean and modern apartment with high-speed wifi.
246,Darlinghurst,Entire home/apt,441.07,4.2,"Basic room, clean but tiny. The host was very friendly."
247,Manly,Private room,213.64,4.9,Luxury villa with a pool and ocean views. Incredible experience.
248,Manly,Shared room,546.17,3.6,"Terrible experience, the place was dirty and loud."
249,Bondi,Shared room,519.59,4.0,"Very noisy and bustling, great for nightlife but hard to sleep."
250,Surry Hills,Shared room,680.89,3.9,"Basic room, clean but tiny. The host was very friendly."
251,Newtown,Entire home/apt,237.98,2.6,"Very noisy and bustling, great for nightlife but hard to sleep."
252,Darlinghurst,Entire home/apt,326.15,3.0,"Terrible experience, the place was dirty and loud."
253,Darlinghurst,Shared room,389.1,4.6,"Quiet and peaceful, the perfect romantic getaway."
254,Manly,Private room,518.15,4.8,"Very noisy and bustling, great for nightlife but hard to sleep."
255,Manly,Shared room,440.2,2.8,A bit outdated but very affordable and cozy.
256,Darlinghurst,Shared room,72.94,4.8,"Terrible experience, the place was dirty and loud."
257,Surry Hills,Private room,145.12,3.5,A bit outdated but very affordable and cozy.
258,Newtown,Shared room,703.81,4.7,"Basic room, clean but tiny. The host was very friendly."
259,Surry Hills,Entire home/apt,214.93,3.8,"Very noisy and bustling, great for nightlife but hard to sleep."
260,Surry Hills,Private room,510.89,2.5,A bit outdated but very affordable and cozy.
261,Newtown,Private room,151.24,4.7,A bit outdated but very affordable and cozy.
262,Manly,Entire home/apt,305.83,2.7,"Basic room, clean but tiny. The host was very friendly."
263,Newtown,Shared room,520.46,3.0,"Very noisy and bustling, great for nightlife but hard to sleep."
264,Parramatta,Private room,789.33,3.3,"Very noisy and bustling, great for nightlife but hard to sleep."
265,Manly,Entire home/apt,121.04,2.8,Extremely clean and modern apartment with high-speed wifi.
